,Day,Month,Year,brokerage,open,price_target,stock,yield
10,27,3,2018,UBS Group,92.81,111.0,AXP,0.19599181122723847
11,16,3,2018,Credit Suisse Group,94.55,94.0,AXP,-0.0058170280274986155
12,15,3,2018,Sandler O'Neill,95.06,109.0,AXP,0.14664422470018934
13,13,3,2018,Oppenheimer,98.12,117.0,AXP,0.19241744802282912
14,20,2,2018,Oppenheimer,96.58,117.0,AXP,0.21143093808241864
15,12,2,2018,Instinet,92.58,108.0,AXP,0.16655865197666886
16,12,2,2018,Nomura,92.58,108.0,AXP,0.16655865197666886
17,2,2,2018,Morgan Stanley,99.53,109.0,AXP,0.0951471918014668
18,22,1,2018,Guggenheim,97.26,102.0,AXP,0.0487353485502775
19,19,1,2018,Barclays,97.01,119.0,AXP,0.22667766209669105
20,19,1,2018,Oppenheimer,97.01,117.0,AXP,0.2060612308009484
21,18,1,2018,Piper Jaffray Companies,100.84,126.0,AXP,0.2495041650138834
22,12,1,2018,JPMorgan Chase & Co.,100.86,90.0,AXP,-0.107674003569304
23,11,1,2018,Barclays,101.44,119.0,AXP,0.17310725552050465
24,9,1,2018,Wells Fargo & Co,100.36,115.0,AXP,0.14587485053806293
25,8,1,2018,BMO Capital Markets,101.0,103.0,AXP,0.01980198019801982
26,3,1,2018,Instinet,99.24,110.0,AXP,0.10842402257154382
27,2,1,2018,Stephens,99.73,97.0,AXP,-0.027373909555800657
28,2,1,2018,Deutsche Bank,99.73,118.0,AXP,0.1831946254888197
29,22,12,2017,"Keefe, Bruyette & Woods",98.74,116.0,AXP,0.1748025116467491
30,18,12,2017,Bank of America,99.07,128.0,AXP,0.2920157464419097
31,24,10,2017,Atlantic Securities,92.6,100.0,AXP,0.07991360691144722
32,20,10,2017,Jefferies Financial Group,92.84,93.35,AXP,0.005493321844032728
33,19,10,2017,Royal Bank of Canada,90.4,68.0,AXP,-0.2477876106194691
34,19,10,2017,Piper Jaffray Companies,90.4,98.0,AXP,0.08407079646017701
35,19,10,2017,Barclays,90.4,93.0,AXP,0.02876106194690253
36,19,10,2017,Bank of America,90.4,106.0,AXP,0.17256637168141584
37,19,10,2017,Morgan Stanley,90.4,97.0,AXP,0.07300884955752207
38,19,10,2017,Oppenheimer,90.4,99.0,AXP,0.09513274336283173
39,19,10,2017,Stephens,90.4,89.0,AXP,-0.015486725663716894
40,19,10,2017,Credit Suisse Group,90.4,84.0,AXP,-0.07079646017699126
41,19,10,2017,Jefferies Financial Group,90.4,93.0,AXP,0.02876106194690253
42,10,10,2017,Wells Fargo & Co,91.88,105.0,AXP,0.14279494993469746
43,9,10,2017,Bank of America,91.59,102.0,AXP,0.11365869636423187
44,4,10,2017,Credit Suisse Group,91.6,79.0,AXP,-0.13755458515283836
45,2,10,2017,Buckingham Research,90.44,92.0,AXP,0.017249004865103945
46,8,9,2017,Morgan Stanley,84.18,89.0,AXP,0.057258256117842736
52,20,7,2017,Barclays,84.94,83.0,AXP,-0.022839651518719032
53,5,7,2017,Credit Suisse Group,85.22,80.0,AXP,-0.06125322694203239
54,29,6,2017,Instinet,84.92,80.0,AXP,-0.0579368817710787
55,20,6,2017,Stephens,81.98,82.0,AXP,0.0002439619419369876
56,1,6,2017,BMO Capital Markets,77.23,84.0,AXP,0.08766023565971759
58,28,4,2017,Jefferies Financial Group,79.94,85.0,AXP,0.06329747310482857
59,27,4,2017,Nomura,80.77,78.0,AXP,-0.03429491147703345
60,27,4,2017,Instinet,80.77,78.0,AXP,-0.03429491147703345
61,25,4,2017,Guggenheim,81.06,90.0,AXP,0.11028867505551433
62,24,4,2017,CIBC,80.64,93.0,AXP,0.15327380952380953
66,21,4,2017,Oppenheimer,79.88,93.0,AXP,0.16424636955433147
67,20,4,2017,Goldman Sachs Group,77.5,87.0,AXP,0.1225806451612903
68,10,4,2017,"Keefe, Bruyette & Woods",77.92,91.0,AXP,0.16786447638603685
69,7,4,2017,Credit Suisse Group,77.48,76.0,AXP,-0.019101703665462155
71,10,3,2017,Credit Suisse Group,79.38,75.0,AXP,-0.05517762660619796
72,6,3,2017,Oppenheimer,79.5,97.0,AXP,0.220125786163522
73,14,2,2017,DA Davidson,79.0,84.0,AXP,0.06329113924050622
74,30,1,2017,"Keefe, Bruyette & Woods",76.83,91.0,AXP,0.18443316412859567
77,20,1,2017,BMO Capital Markets,75.99,80.0,AXP,0.05277010132912241
78,20,1,2017,Credit Suisse Group,75.99,76.0,AXP,0.0001315962626662337
79,20,1,2017,Goldman Sachs Group,75.99,80.0,AXP,0.05277010132912241
80,17,1,2017,JPMorgan Chase & Co.,77.4,90.0,AXP,0.16279069767441845
81,10,1,2017,Oppenheimer,76.52,98.0,AXP,0.2807109252483011
82,10,1,2017,Bank of America,76.52,98.0,AXP,0.2807109252483011
83,9,1,2017,Bank of America,76.14,90.0,AXP,0.18203309692671388
85,6,1,2017,Royal Bank of Canada,75.4,60.0,AXP,-0.2042440318302388
86,23,12,2016,Pacific Crest,74.74,75.0,AXP,0.00347872625100365
87,20,12,2016,Jefferies Financial Group,75.0,75.0,AXP,0.0
89,6,12,2016,Barclays,72.47,63.0,AXP,-0.13067476197047054
90,18,11,2016,Stephens,71.53,71.78,AXP,0.003495037047392735
92,20,10,2016,Barclays,65.34,63.0,AXP,-0.03581267217630857
93,20,10,2016,BMO Capital Markets,65.34,75.0,AXP,0.14784205693296593
94,20,10,2016,Bank of America,65.34,68.0,AXP,0.040710131619222434
95,6,10,2016,Nomura,63.56,56.0,AXP,-0.11894273127753308
96,16,9,2016,Credit Suisse Group,63.37,62.0,AXP,-0.021619062647940668
97,12,9,2016,"Keefe, Bruyette & Woods",64.72,74.0,AXP,0.14338689740420274
98,9,9,2016,Atlantic Securities,65.74,62.0,AXP,-0.05689078186796459
99,7,9,2016,Piper Jaffray Companies,65.49,71.0,AXP,0.08413498244006723
100,21,7,2016,BMO Capital Markets,63.8,73.0,AXP,0.14420062695924776
101,21,7,2016,Jefferies Financial Group,63.8,60.0,AXP,-0.05956112852664575
0,16,7,2018,Nomura,191.52,175.0,AAPL,-0.08625730994152048
1,16,7,2018,Sanford C. Bernstein,191.52,190.0,AAPL,-0.007936507936508021
5,26,6,2018,Barclays,182.99,175.0,AAPL,-0.043663588174217234
6,25,6,2018,Sanford C. Bernstein,183.4,190.0,AAPL,0.03598691384950925
7,13,6,2018,UBS Group,192.42,210.0,AAPL,0.09136264421577801
14,30,5,2018,Maxim Group,187.72,200.0,AAPL,0.06541657788195178
15,24,5,2018,Morgan Stanley,188.77,214.0,AAPL,0.13365471208348767
30,30,4,2018,DA Davidson,162.1302,220.0,AAPL,0.3569341183813997
31,30,4,2018,Barclays,162.1302,157.0,AAPL,-0.03164247006418297
32,26,4,2018,Sanford C. Bernstein,164.12,170.0,AAPL,0.03582744333414567
33,24,4,2018,Deutsche Bank,165.67,152.0,AAPL,-0.0825134303132733
34,24,4,2018,Wells Fargo & Co,165.67,195.0,AAPL,0.17703869137441908
35,24,4,2018,UBS Group,165.67,190.0,AAPL,0.14685821210840833
36,20,4,2018,Morgan Stanley,170.595,200.0,AAPL,0.17236730267592848
42,28,3,2018,Royal Bank of Canada,167.25,203.0,AAPL,0.21375186846038874
43,28,3,2018,Rosenblatt Securities,167.25,180.0,AAPL,0.07623318385650224
44,28,3,2018,Nomura,167.25,175.0,AAPL,0.04633781763826605
45,28,3,2018,Goldman Sachs Group,167.25,159.0,AAPL,-0.04932735426008972
46,27,3,2018,UBS Group,173.68,190.0,AAPL,0.09396591432519563
47,23,3,2018,Bank of America,168.39,220.0,AAPL,0.30649088425678506
48,19,3,2018,Nomura,177.32,175.0,AAPL,-0.013083690503045252
49,16,3,2018,Rosenblatt Securities,178.65,180.0,AAPL,0.007556675062972306
50,16,3,2018,Barclays,178.65,168.0,AAPL,-0.05961376994122593
64,31,1,2018,Loop Capital,166.87,195.0,AAPL,0.1685743393060466
65,31,1,2018,BMO Capital Markets,166.87,166.0,AAPL,-0.0052136393599808714
66,30,1,2018,Bank of America,165.525,220.0,AAPL,0.329104364899562
67,30,1,2018,HSBC,165.525,204.0,AAPL,0.23244222927050284
68,30,1,2018,Deutsche Bank,165.525,152.0,AAPL,-0.08170971152393902
69,30,1,2018,Sanford C. Bernstein,165.525,195.0,AAPL,0.17806977797915713
70,29,1,2018,Cascend Securities,170.16,220.0,AAPL,0.2929007992477668
71,26,1,2018,Macquarie,172.0,188.0,AAPL,0.09302325581395343
72,25,1,2018,Morgan Stanley,174.505,200.0,AAPL,0.14609896564568348
73,24,1,2018,Sanford C. Bernstein,177.25,195.0,AAPL,0.10014104372355437
74,24,1,2018,Canaccord Genuity,177.25,200.0,AAPL,0.1283497884344147
75,23,1,2018,Morgan Stanley,177.3,205.0,AAPL,0.1562323745064862
76,22,1,2018,Atlantic Securities,177.3,190.0,AAPL,0.07163000564015776
77,19,1,2018,Rosenblatt Securities,178.61,180.0,AAPL,0.007782319019091766
78,19,1,2018,Mizuho,178.61,175.0,AAPL,-0.020211634286994132
79,18,1,2018,Barclays,179.37,174.0,AAPL,-0.029938116741930143
80,17,1,2018,Bank of America,176.15,220.0,AAPL,0.2489355662787396
86,27,12,2017,Wells Fargo & Co,170.1,195.0,AAPL,0.1463844797178131
87,26,12,2017,Rosenblatt Securities,170.8,180.0,AAPL,0.05386416861826682
88,22,12,2017,Loop Capital,174.68,200.0,AAPL,0.14495076711701382
89,20,12,2017,BMO Capital Markets,174.87,199.0,AAPL,0.13798821982043807
90,19,12,2017,Instinet,175.03,175.0,AAPL,-0.0001713991887105637
91,19,12,2017,Nomura,175.03,175.0,AAPL,-0.0001713991887105637
92,13,12,2017,Citigroup,172.5,200.0,AAPL,0.1594202898550725
93,13,12,2017,Stifel Nicolaus,172.5,26.0,AAPL,-0.8492753623188406
96,27,11,2017,UBS Group,175.05,190.0,AAPL,0.08540417023707514
97,27,11,2017,Nomura,175.05,185.0,AAPL,0.05684090259925734
98,14,11,2017,Wells Fargo & Co,173.04,195.0,AAPL,0.1269070735090152
99,14,11,2017,UBS Group,173.04,190.0,AAPL,0.09801202034211752
118,31,10,2017,Piper Jaffray Companies,167.9,200.0,AAPL,0.19118522930315665
119,30,10,2017,Drexel Hamilton,163.89,208.0,AAPL,0.26914393800720005
120,27,10,2017,Maxim Group,159.29,193.0,AAPL,0.21162659300646625
121,24,10,2017,Drexel Hamilton,156.29,208.0,AAPL,0.33085930001919506
122,23,10,2017,UBS Group,156.89,180.0,AAPL,0.14730065651093138
123,23,10,2017,Royal Bank of Canada,156.89,180.0,AAPL,0.14730065651093138
124,23,10,2017,Sanford C. Bernstein,156.89,175.0,AAPL,0.11543119383007205
125,18,10,2017,Mizuho,160.42,160.0,AAPL,-0.0026181274155341328
126,16,10,2017,KeyCorp,157.9,187.0,AAPL,0.1842938568714376
127,16,10,2017,Pacific Crest,157.9,187.0,AAPL,0.1842938568714376
129,13,10,2017,Barclays,156.73,161.0,AAPL,0.027244305493523857
130,11,10,2017,Piper Jaffray Companies,155.97,196.0,AAPL,0.256651920241072
131,11,10,2017,Morgan Stanley,155.97,199.0,AAPL,0.27588638840802715
132,10,10,2017,Royal Bank of Canada,156.055,180.0,AAPL,0.15343949248662336
137,28,9,2017,Deutsche Bank,153.89,140.0,AAPL,-0.09025927610630956
138,27,9,2017,Mizuho,153.8,150.0,AAPL,-0.024707412223667125
139,26,9,2017,Raymond James,151.78,180.0,AAPL,0.18592699960469106
140,26,9,2017,Bank of America,151.78,180.0,AAPL,0.18592699960469106
141,26,9,2017,Sanford C. Bernstein,151.78,175.0,AAPL,0.15298458294900508
142,25,9,2017,Drexel Hamilton,149.99,208.0,AAPL,0.3867591172744849
143,25,9,2017,Nomura,149.99,185.0,AAPL,0.2334155610374025
144,22,9,2017,Citigroup,152.02,170.0,AAPL,0.1182739113274569
145,22,9,2017,Maxim Group,152.02,182.0,AAPL,0.1972108933035126
146,22,9,2017,Piper Jaffray Companies,152.02,196.0,AAPL,0.2893040389422443
147,21,9,2017,Rosenblatt Securities,155.8,150.0,AAPL,-0.03722721437740695
148,18,9,2017,Mizuho,160.11,150.0,AAPL,-0.06314408843919816
149,18,9,2017,Guggenheim,160.11,200.0,AAPL,0.2491412154144026
151,14,9,2017,Royal Bank of Canada,158.99,182.0,AAPL,0.14472608340147164
152,14,9,2017,Needham & Company LLC,158.99,175.0,AAPL,0.10069815711679976
153,14,9,2017,Maxim Group,158.99,182.0,AAPL,0.14472608340147164
154,13,9,2017,Hilliard Lyons,159.87,999.0,AAPL,5.248827172077314
155,13,9,2017,Sanford C. Bernstein,159.87,175.0,AAPL,0.09463939450803772
156,13,9,2017,Barclays,159.87,146.0,AAPL,-0.08675799086757996
157,13,9,2017,Bank of America,159.87,180.0,AAPL,0.12591480577969594
158,13,9,2017,Instinet,159.87,185.0,AAPL,0.15719021705135414
159,13,9,2017,Canaccord Genuity,159.87,180.0,AAPL,0.12591480577969594
160,13,9,2017,BMO Capital Markets,159.87,180.0,AAPL,0.12591480577969594
161,13,9,2017,Drexel Hamilton,159.87,208.0,AAPL,0.3010571089009819
176,29,8,2017,UBS Group,160.1,180.0,AAPL,0.12429731417863832
177,29,8,2017,Cleveland Research,160.1,197.0,AAPL,0.2304809494066209
178,24,8,2017,Bank of America,160.43,180.0,AAPL,0.12198466620956185
179,24,8,2017,Drexel Hamilton,160.43,208.0,AAPL,0.2965156142866048
180,22,8,2017,Canaccord Genuity,158.23,180.0,AAPL,0.13758452885040762
181,21,8,2017,Rosenblatt Securities,157.5,150.0,AAPL,-0.04761904761904767
182,21,8,2017,Royal Bank of Canada,157.5,176.0,AAPL,0.11746031746031747
183,15,8,2017,Barclays,160.66,146.0,AAPL,-0.0912485995269513
184,14,8,2017,Sanford C. Bernstein,159.32,175.0,AAPL,0.09841827768014057
213,31,7,2017,UBS Group,149.9,170.0,AAPL,0.1340893929286191
214,27,7,2017,Needham & Company LLC,153.75,165.0,AAPL,0.07317073170731714
215,26,7,2017,Mizuho,153.35,150.0,AAPL,-0.02184545158134976
216,25,7,2017,Stifel Nicolaus,151.8,150.0,AAPL,-0.011857707509881464
217,25,7,2017,Sanford C. Bernstein,151.8,170.0,AAPL,0.11989459815546755
218,25,7,2017,BMO Capital Markets,151.8,170.0,AAPL,0.11989459815546755
219,25,7,2017,Credit Suisse Group,151.8,170.0,AAPL,0.11989459815546755
220,24,7,2017,Royal Bank of Canada,150.58,168.0,AAPL,0.1156860140788949
221,24,7,2017,Loop Capital,150.58,172.0,AAPL,0.14224996679505894
223,21,7,2017,Guggenheim,149.99,180.0,AAPL,0.2000800053336889
224,21,7,2017,UBS Group,149.99,170.0,AAPL,0.13340889392626165
225,19,7,2017,JPMorgan Chase & Co.,150.48,165.0,AAPL,0.09649122807017553
226,17,7,2017,Morgan Stanley,148.82,182.0,AAPL,0.22295390404515536
237,23,6,2017,UBS Group,145.13,170.0,AAPL,0.17136360504375392
238,21,6,2017,Goldman Sachs Group,145.52,170.0,AAPL,0.16822429906542058
239,19,6,2017,Maxim Group,143.66,180.0,AAPL,0.25295837393846576
240,16,6,2017,Barclays,143.78,123.0,AAPL,-0.14452635971623318
241,16,6,2017,Cowen,143.78,160.0,AAPL,0.11281123939351788
242,16,6,2017,Morgan Stanley,143.78,177.0,AAPL,0.2310474335790791
243,14,6,2017,Credit Suisse Group,147.5,170.0,AAPL,0.15254237288135594
244,13,6,2017,Longbow Research,147.16,173.0,AAPL,0.17559119325903771
245,13,6,2017,Drexel Hamilton,147.16,202.0,AAPL,0.3726556129382985
272,31,5,2017,UBS Group,153.97,170.0,AAPL,0.10411119049165428
273,30,5,2017,Rosenblatt Securities,153.42,120.0,AAPL,-0.2178333985138834
277,25,5,2017,Cowen,153.73,160.0,AAPL,0.04078579327392196
278,24,5,2017,Longbow Research,153.84,162.0,AAPL,0.053042121684867334
279,23,5,2017,Credit Suisse Group,154.9,170.0,AAPL,0.09748224661071657
280,23,5,2017,Sanford C. Bernstein,154.9,160.0,AAPL,0.032924467398321555
281,22,5,2017,"Keefe, Bruyette & Woods",154.0,170.0,AAPL,0.10389610389610393
282,22,5,2017,Royal Bank of Canada,154.0,168.0,AAPL,0.09090909090909084
285,19,5,2017,Royal Bank of Canada,153.38,157.0,AAPL,0.023601512583126816
286,19,5,2017,Wells Fargo & Co,153.38,140.0,AAPL,-0.08723431998956832
287,17,5,2017,Morgan Stanley,153.6,177.0,AAPL,0.15234375
288,17,5,2017,BMO Capital Markets,153.6,170.0,AAPL,0.10677083333333348
289,16,5,2017,Canaccord Genuity,155.94,180.0,AAPL,0.1542901115813775
290,15,5,2017,Hilliard Lyons,156.01,170.0,AAPL,0.08967373886289343
291,15,5,2017,Argus,156.01,160.0,AAPL,0.025575283635664414
318,28,4,2017,Wells Fargo & Co,144.09,140.0,AAPL,-0.02838503712957185
319,26,4,2017,Piper Jaffray Companies,144.47,155.0,AAPL,0.07288710458918812
320,25,4,2017,Needham & Company LLC,143.91,165.0,AAPL,0.14654992703773195
321,24,4,2017,UBS Group,143.5,151.0,AAPL,0.05226480836236935
322,20,4,2017,Stifel Nicolaus,141.22,150.0,AAPL,0.062172496813482477
323,19,4,2017,Guggenheim,141.88,180.0,AAPL,0.2686777558500142
324,19,4,2017,Macquarie,141.88,160.0,AAPL,0.12771356075556814
325,18,4,2017,Macquarie,141.41,156.0,AAPL,0.10317516441552944
326,18,4,2017,Goldman Sachs Group,141.41,150.0,AAPL,0.06074535039954744
327,17,4,2017,Rosenblatt Securities,141.48,120.0,AAPL,-0.1518235793044953
328,17,4,2017,Royal Bank of Canada,141.48,157.0,AAPL,0.10969748374328536
336,31,3,2017,Canaccord Genuity,143.72,165.0,AAPL,0.14806568327303093
337,30,3,2017,Drexel Hamilton,144.19,185.0,AAPL,0.2830293362923919
338,29,3,2017,Rosenblatt Securities,143.68,120.0,AAPL,-0.16481069042316265
339,28,3,2017,UBS Group,140.91,175.0,AAPL,0.2419274714356683
340,28,3,2017,FBR & Co,140.91,155.0,AAPL,0.09999290327159184
341,27,3,2017,JPMorgan Chase & Co.,139.39,165.0,AAPL,0.18372910538776102
342,24,3,2017,Needham & Company LLC,141.5,165.0,AAPL,0.16607773851590113
343,24,3,2017,Royal Bank of Canada,141.5,155.0,AAPL,0.09540636042402828
344,24,3,2017,Instinet,141.5,165.0,AAPL,0.16607773851590113
345,23,3,2017,Nomura,141.26,135.0,AAPL,-0.044315446694039314
346,22,3,2017,Goldman Sachs Group,139.845,150.0,AAPL,0.07261611069398266
347,21,3,2017,JPMorgan Chase & Co.,142.11,142.0,AAPL,-0.0007740482724650777
348,21,3,2017,Sanford C. Bernstein,142.11,160.0,AAPL,0.1258883963127153
349,20,3,2017,Piper Jaffray Companies,140.4,155.0,AAPL,0.103988603988604
350,20,3,2017,Cowen,140.4,155.0,AAPL,0.103988603988604
351,17,3,2017,Pacific Crest,141.0,150.0,AAPL,0.06382978723404252
352,16,3,2017,Bank of America,140.72,155.0,AAPL,0.10147811256395678
353,16,3,2017,Cowen,140.72,155.0,AAPL,0.10147811256395678
354,15,3,2017,Goldman Sachs Group,139.41,150.0,AAPL,0.07596298687325165
355,15,3,2017,Royal Bank of Canada,139.41,155.0,AAPL,0.11182841976902667
356,13,3,2017,Credit Suisse Group,138.85,160.0,AAPL,0.1523226503420958
357,13,3,2017,Instinet,138.85,135.0,AAPL,-0.027727763773856662
365,28,2,2017,Guggenheim,137.08,180.0,AAPL,0.3131018383425737
366,28,2,2017,UBS Group,137.08,151.0,AAPL,0.1015465421651589
367,27,2,2017,Mizuho,137.14,150.0,AAPL,0.09377278693306113
368,24,2,2017,BMO Capital Markets,135.91,160.0,AAPL,0.17724965050400998
369,21,2,2017,Deutsche Bank,136.23,125.0,AAPL,-0.08243411876972763
370,21,2,2017,Morgan Stanley,136.23,154.0,AAPL,0.13044116567569564
371,17,2,2017,Cowen,135.1,135.0,AAPL,-0.0007401924500369804
372,16,2,2017,Barclays,135.67,123.0,AAPL,-0.09338836883614644
373,16,2,2017,BMO Capital Markets,135.67,142.0,AAPL,0.04665733028672525
374,14,2,2017,Drexel Hamilton,133.47,185.0,AAPL,0.3860792687495318
375,14,2,2017,Robert W. Baird,133.47,145.0,AAPL,0.08638645388476808
376,13,2,2017,UBS Group,133.08,138.0,AAPL,0.03697024346257871
377,13,2,2017,Goldman Sachs Group,133.08,150.0,AAPL,0.12714156898106402
400,31,1,2017,Morgan Stanley,121.15,150.0,AAPL,0.2381345439537763
401,31,1,2017,Goldman Sachs Group,121.15,133.0,AAPL,0.0978126289723482
402,31,1,2017,Pacific Crest,121.15,129.0,AAPL,0.06479570780024768
403,31,1,2017,Maxim Group,121.15,164.0,AAPL,0.35369376805612873
404,30,1,2017,UBS Group,120.93,138.0,AAPL,0.14115604068469345
405,30,1,2017,Drexel Hamilton,120.93,185.0,AAPL,0.5298106342512197
406,30,1,2017,Royal Bank of Canada,120.93,125.0,AAPL,0.03365583395352667
407,30,1,2017,Cowen,120.93,135.0,AAPL,0.11634830066980895
408,25,1,2017,Credit Suisse Group,120.42,150.0,AAPL,0.2456402590931739
409,24,1,2017,Piper Jaffray Companies,119.55,155.0,AAPL,0.2965286491007946
410,24,1,2017,Royal Bank of Canada,119.55,125.0,AAPL,0.04558762024257645
411,24,1,2017,Robert W. Baird,119.55,133.0,AAPL,0.11250522793810114
412,24,1,2017,Needham & Company LLC,119.55,150.0,AAPL,0.2547051442910917
413,24,1,2017,Barclays,119.55,117.0,AAPL,-0.02132998745294856
414,23,1,2017,UBS Group,120.0,127.0,AAPL,0.05833333333333335
415,23,1,2017,Sanford C. Bernstein,120.0,140.0,AAPL,0.16666666666666674
416,23,1,2017,Stifel Nicolaus,120.0,115.0,AAPL,-0.04166666666666663
